,mach_id,asm_id,asm_name,par_id,ile,name
93,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26415,1,DIN_912_M12x40_Zn_KL8.8
94,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26418,1,DIN_912_M12x40_Zn_KL8.8
95,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26421,1,DIN_9021_M12_Zn_HV200
96,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26424,1,DIN_9021_M12_Zn_HV200
97,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26427,1,DIN_912_M12x40_Zn_KL8.8
98,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26430,1,DIN_125_M12_Zn_HV200
99,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26433,1,DIN_127_M12_Zn_HV200
100,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26436,1,DIN_934_M12_Zn_KL8
101,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26439,1,DIN_912_M12x40_Zn_KL8.8
102,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26442,1,DIN_125_M12_Zn_HV200
103,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26445,1,DIN_127_M12_Zn_HV200
104,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26448,1,DIN_934_M12_Zn_KL8
105,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26451,1,DIN_934_M12_Zn_KL8
106,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26454,1,DIN_934_M12_Zn_KL8
107,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26502,1,DIN_912_M12x80_Zn_KL8.8_pelny_gwint
108,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26505,1,DIN_912_M12x80_Zn_KL8.8_pelny_gwint
