"maszyna","asm_id","zespol","par_id","ilosc","name"
"032P","id13","032P_01.00.00.000_Modul_rolkowy","id1865",1,"Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ"
"032P","id13","032P_01.00.00.000_Modul_rolkowy","id1868",1,"Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ"
"032P","id13","032P_01.00.00.000_Modul_rolkowy","id1871",1,"Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ"
"032P","id13","032P_01.00.00.000_Modul_rolkowy","id1877",1,"032P_01.06.00.000_Lancuch_10B-1x34_539,75"
"032P","id13","032P_01.00.00.000_Modul_rolkowy","id2077",1,"032P_01.07.00.000_Lancuch_10B-1x52_825,5"
"032P","id13","032P_01.00.00.000_Modul_rolkowy","id2269",1,"DIN_127_M8_Zn_HV200"
"032P","id13","032P_01.00.00.000_Modul_rolkowy","id2312",1,"DIN_934_M12_Zn_KL8"
"032P","id13","032P_01.00.00.000_Modul_rolkowy","id2344",1,"DIN_125_M12_Zn_HV200"
"032P","id13","032P_01.00.00.000_Modul_rolkowy","id2376",1,"DIN_9021_M8_Zn_HV200"
"032P","id13","032P_01.00.00.000_Modul_rolkowy","id2379",1,"DIN_934_M12_Zn_KL8"
"032P","id13","032P_01.00.00.000_Modul_rolkowy","id2385",1,"Łańcuch 10B-1 x 52 a=310 L=825,5"
"032P","id13","032P_01.00.00.000_Modul_rolkowy","id2794",1,"DIN_933_M12x40_Zn_KL8.8"
"032P","id13","032P_01.00.00.000_Modul_rolkowy","id2797",1,"DIN_933_M12x40_Zn_KL8.8"
"032P","id13","032P_01.00.00.000_Modul_rolkowy","id2800",1,"DIN_934_M12_Zn_KL8"
"032P","id13","032P_01.00.00.000_Modul_rolkowy","id2803",1,"Łańcuch 10B-1 x 52 a=310 L=825,5"
"032P","id13","032P_01.00.00.000_Modul_rolkowy","id2910",1,"Łańcuch 10B-1 x 52 a=310 L=825,5"
"032P","id13","032P_01.00.00.000_Modul_rolkowy","id3017",1,"Łańcuch 10B-1 x 52 a=310 L=825,5"
"032P","id13","032P_01.00.00.000_Modul_rolkowy","id3124",1,"Łańcuch 10B-1 x 52 a=310 L=825,5"
"032P","id13","032P_01.00.00.000_Modul_rolkowy","id3231",1,"Łańcuch 10B-1 x 52 a=310 L=825,5"
"032P","id13","032P_01.00.00.000_Modul_rolkowy","id3341",1,"032P_01.08.00.000_Lancuch_10B-1x58_920,75"
"032P","id13","032P_01.00.00.000_Modul_rolkowy","id3721",1,"DIN_125_M8_Zn_HV200"
"032P","id13","032P_01.00.00.000_Modul_rolkowy","id3724",1,"DIN_125_M8_Zn_HV200"
"032P","id13","032P_01.00.00.000_Modul_rolkowy","id3727",1,"DIN_125_M8_Zn_HV200"
"032P","id13","032P_01.00.00.000_Modul_rolkowy","id3730",1,"DIN_125_M12_Zn_HV200"
"032P","id13","032P_01.00.00.000_Modul_rolkowy","id3766",1,"DIN_127_M12_Zn_HV200"
"032P","id13","032P_01.00.00.000_Modul_rolkowy","id3769",1,"DIN_934_M12_Zn_KL8"
"032P","id13","032P_01.00.00.000_Modul_rolkowy","id3772",1,"DIN_125_M12_Zn_HV200"
"032P","id13","032P_01.00.00.000_Modul_rolkowy","id3775",1,"DIN_934_M12_Zn_KL8"
"032P","id13","032P_01.00.00.000_Modul_rolkowy","id3778",1,"DIN_127_M12_Zn_HV200"
"032P","id13","032P_01.00.00.000_Modul_rolkowy","id3781",1,"DIN_125_M12_Zn_HV200"
"032P","id13","032P_01.00.00.000_Modul_rolkowy","id3784",1,"DIN_933_M12x40_Zn_KL8.8"
"032P","id13","032P_01.00.00.000_Modul_rolkowy","id3787",1,"DIN_125_M12_Zn_HV200"
"032P","id13","032P_01.00.00.000_Modul_rolkowy","id3790",1,"DIN_127_M12_Zn_HV200"
"032P","id13","032P_01.00.00.000_Modul_rolkowy","id3793",1,"DIN_125_M12_Zn_HV200"
"032P","id13","032P_01.00.00.000_Modul_rolkowy","id3796",1,"DIN_125_M12_Zn_HV200"
"032P","id13","032P_01.00.00.000_Modul_rolkowy","id3799",1,"DIN_934_M12_Zn_KL8"
"032P","id13","032P_01.00.00.000_Modul_rolkowy","id3802",1,"DIN_127_M12_Zn_HV200"
"032P","id13","032P_01.00.00.000_Modul_rolkowy","id3805",1,"DIN_125_M12_Zn_HV200"
"032P","id13","032P_01.00.00.000_Modul_rolkowy","id3808",1,"DIN_933_M12x40_Zn_KL8.8"
"032P","id13","032P_01.00.00.000_Modul_rolkowy","id3811",1,"DIN_125_M12_Zn_HV200"
"032P","id13","032P_01.00.00.000_Modul_rolkowy","id3814",1,"DIN_127_M12_Zn_HV200"
"032P","id13","032P_01.00.00.000_Modul_rolkowy","id3817",1,"DIN_933_M12x40_Zn_KL8.8"
"032P","id13","032P_01.00.00.000_Modul_rolkowy","id3820",1,"DIN_933_M12x40_Zn_KL8.8"
"032P","id13","032P_01.00.00.000_Modul_rolkowy","id3823",1,"DIN_125_M12_Zn_HV200"
"032P","id13","032P_01.00.00.000_Modul_rolkowy","id3826",1,"DIN_125_M12_Zn_HV200"
"032P","id13","032P_01.00.00.000_Modul_rolkowy","id3829",1,"DIN_127_M12_Zn_HV200"
"032P","id13","032P_01.00.00.000_Modul_rolkowy","id3832",1,"DIN_934_M12_Zn_KL8"
"032P","id13","032P_01.00.00.000_Modul_rolkowy","id3835",1,"DIN_125_M12_Zn_HV200"
"032P","id13","032P_01.00.00.000_Modul_rolkowy","id3838",1,"Łańcuch 10B-1 x 52 a=310 L=825,5"
"032P","id13","032P_01.00.00.000_Modul_rolkowy","id3945",1,"DIN_125_M8_Zn_HV200"
"032P","id13","032P_01.00.00.000_Modul_rolkowy","id3988",1,"DIN_934_M8_Zn_KL8"
"032P","id13","032P_01.00.00.000_Modul_rolkowy","id3991",1,"DIN_934_M8_Zn_KL8"
