,is_asm,machine,asm_name,name,biblioteka,par_per_asm
118,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,DIN_912_M6x12_Zn_KL8.8,DIN_912_M6x12_Zn_KL8.8,1
119,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,DIN_125_M6_Zn_HV200,DIN_125_M6_Zn_HV200,1
120,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,DIN_912_M6x12_Zn_KL8.8,DIN_912_M6x12_Zn_KL8.8,1
121,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,DIN_127_M6_Zn_HV200,DIN_127_M6_Zn_HV200,1
122,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,DIN_125_M6_Zn_HV200,DIN_125_M6_Zn_HV200,1
123,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,DIN_912_M6x12_Zn_KL8.8,DIN_912_M6x12_Zn_KL8.8,1
124,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,DIN_127_M6_Zn_HV200,DIN_127_M6_Zn_HV200,1
125,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,DIN_127_M6_Zn_HV200,DIN_127_M6_Zn_HV200,1
126,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,DIN_125_M6_Zn_HV200,DIN_125_M6_Zn_HV200,1
127,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,DIN_125_M6_Zn_HV200,DIN_125_M6_Zn_HV200,1
