,mach_id,asm_id,asm_name,par_id,ile
270,032P,id13,032P_01.00.00.000_Modul_rolkowy,id6803,1
271,032P,id13,032P_01.00.00.000_Modul_rolkowy,id6806,1
272,032P,id13,032P_01.00.00.000_Modul_rolkowy,id6809,1
273,032P,id13,032P_01.00.00.000_Modul_rolkowy,id6812,1
274,032P,id13,032P_01.00.00.000_Modul_rolkowy,id6815,1
275,032P,id13,032P_01.00.00.000_Modul_rolkowy,id6818,1
276,032P,id13,032P_01.00.00.000_Modul_rolkowy,id6821,1
277,032P,id13,032P_01.00.00.000_Modul_rolkowy,id6824,1
278,032P,id13,032P_01.00.00.000_Modul_rolkowy,id6827,1
279,032P,id13,032P_01.00.00.000_Modul_rolkowy,id6830,1
280,032P,id13,032P_01.00.00.000_Modul_rolkowy,id6833,1
281,032P,id13,032P_01.00.00.000_Modul_rolkowy,id6836,1
282,032P,id13,032P_01.00.00.000_Modul_rolkowy,id6839,1
283,032P,id13,032P_01.00.00.000_Modul_rolkowy,id6842,1
284,032P,id13,032P_01.00.00.000_Modul_rolkowy,id6845,1
285,032P,id13,032P_01.00.00.000_Modul_rolkowy,id6848,1
286,032P,id13,032P_01.00.00.000_Modul_rolkowy,id6851,1
287,032P,id13,032P_01.00.00.000_Modul_rolkowy,id6854,1
288,032P,id13,032P_01.00.00.000_Modul_rolkowy,id6857,1
289,032P,id13,032P_01.00.00.000_Modul_rolkowy,id6860,1
290,032P,id13,032P_01.00.00.000_Modul_rolkowy,id6863,1
291,032P,id13,032P_01.00.00.000_Modul_rolkowy,id6866,1
292,032P,id13,032P_01.00.00.000_Modul_rolkowy,id6869,1
293,032P,id13,032P_01.00.00.000_Modul_rolkowy,id6872,1
294,032P,id13,032P_01.00.00.000_Modul_rolkowy,id6875,1
295,032P,id13,032P_01.00.00.000_Modul_rolkowy,id6878,1
296,032P,id13,032P_01.00.00.000_Modul_rolkowy,id6881,1
297,032P,id13,032P_01.00.00.000_Modul_rolkowy,id6884,1
298,032P,id13,032P_01.00.00.000_Modul_rolkowy,id6887,1
299,032P,id13,032P_01.00.00.000_Modul_rolkowy,id6890,1
300,032P,id13,032P_01.00.00.000_Modul_rolkowy,id6893,1
301,032P,id13,032P_01.00.00.000_Modul_rolkowy,id6896,1
302,032P,id13,032P_01.00.00.000_Modul_rolkowy,id6899,1
303,032P,id13,032P_01.00.00.000_Modul_rolkowy,id6954,1
304,032P,id13,032P_01.00.00.000_Modul_rolkowy,id6957,1
305,032P,id13,032P_01.00.00.000_Modul_rolkowy,id6960,1
306,032P,id13,032P_01.00.00.000_Modul_rolkowy,id6963,1
307,032P,id13,032P_01.00.00.000_Modul_rolkowy,id6966,1
308,032P,id13,032P_01.00.00.000_Modul_rolkowy,id7021,1
309,032P,id13,032P_01.00.00.000_Modul_rolkowy,id7024,1
310,032P,id13,032P_01.00.00.000_Modul_rolkowy,id7027,1
311,032P,id13,032P_01.00.00.000_Modul_rolkowy,id7038,1
