,id,name
282,id2619,Ogniwo korpusowe 10B-1_5
283,id2623,Ogniwo zewnętrzne 10B-1_3
284,id2627,Ogniwo korpusowe 10B-1_5
285,id2631,Ogniwo zewnętrzne 10B-1_3
286,id2635,Ogniwo korpusowe 10B-1_5
287,id2639,Ogniwo zewnętrzne 10B-1_3
288,id2643,Ogniwo korpusowe 10B-1_5
289,id2647,Ogniwo zewnętrzne 10B-1_3
290,id2651,Ogniwo korpusowe 10B-1_5
291,id2655,Ogniwo zewnętrzne 10B-1_3
292,id2659,Ogniwo korpusowe 10B-1_5
293,id2663,Ogniwo zewnętrzne 10B-1_3
294,id2667,Ogniwo korpusowe 10B-1_5
295,id2671,Ogniwo zewnętrzne 10B-1_3
296,id2675,Ogniwo korpusowe 10B-1_5
297,id2679,Ogniwo zewnętrzne 10B-1_3
298,id2683,Ogniwo korpusowe 10B-1_5
299,id2687,Ogniwo zewnętrzne 10B-1_3
300,id2691,Ogniwo korpusowe 10B-1_5
301,id2695,Ogniwo zewnętrzne 10B-1_3
302,id2699,Ogniwo korpusowe 10B-1_5
303,id2703,Ogniwo zewnętrzne 10B-1_3
304,id2707,Ogniwo korpusowe 10B-1_5
305,id2711,Ogniwo zewnętrzne 10B-1_3
306,id2715,Ogniwo korpusowe 10B-1_5
307,id2719,Ogniwo zewnętrzne 10B-1_3
308,id2723,Ogniwo korpusowe 10B-1_5
309,id2727,Ogniwo zewnętrzne 10B-1_3
310,id2731,Ogniwo korpusowe 10B-1_5
311,id2735,Ogniwo zewnętrzne 10B-1_3
312,id2739,Ogniwo korpusowe 10B-1_5
313,id2743,Ogniwo zewnętrzne 10B-1_3
314,id2794,DIN_933_M12x40_Zn_KL8.8
315,id2797,DIN_933_M12x40_Zn_KL8.8
316,id2800,DIN_934_M12_Zn_KL8
317,id2804,Ogniwo korpusowe 10B-1_5
318,id2806,Ogniwo zewnętrzne 10B-1_3
319,id2808,Ogniwo korpusowe 10B-1_5
320,id2810,Ogniwo zewnętrzne 10B-1_3
321,id2812,Ogniwo korpusowe 10B-1_5
322,id2814,Ogniwo zewnętrzne 10B-1_3
323,id2816,Ogniwo korpusowe 10B-1_5
324,id2818,Ogniwo zewnętrzne 10B-1_3
325,id2820,Ogniwo korpusowe 10B-1_5
326,id2822,Ogniwo zewnętrzne 10B-1_3
327,id2824,Ogniwo korpusowe 10B-1_5
328,id2826,Ogniwo zewnętrzne 10B-1_3
329,id2828,Ogniwo korpusowe 10B-1_5
330,id2830,Ogniwo zewnętrzne 10B-1_3
331,id2832,Ogniwo korpusowe 10B-1_5
332,id2834,Ogniwo zewnętrzne 10B-1_3
333,id2836,Ogniwo korpusowe 10B-1_5
334,id2838,Ogniwo zewnętrzne 10B-1_3
335,id2840,Ogniwo korpusowe 10B-1_5
336,id2842,Ogniwo zewnętrzne 10B-1_3
337,id2844,Ogniwo korpusowe 10B-1_5
338,id2846,Ogniwo zewnętrzne 10B-1_3
339,id2848,Ogniwo korpusowe 10B-1_5
340,id2850,Ogniwo zewnętrzne 10B-1_3
341,id2852,Ogniwo korpusowe 10B-1_5
342,id2854,Ogniwo zewnętrzne 10B-1_3
343,id2856,Ogniwo korpusowe 10B-1_5
344,id2858,Ogniwo zewnętrzne 10B-1_3
345,id2860,Ogniwo korpusowe 10B-1_5
346,id2862,Ogniwo zewnętrzne 10B-1_3
347,id2864,Ogniwo korpusowe 10B-1_5
348,id2866,Ogniwo zewnętrzne 10B-1_3
349,id2868,Ogniwo korpusowe 10B-1_5
350,id2870,Ogniwo zewnętrzne 10B-1_3
351,id2872,Ogniwo korpusowe 10B-1_5
352,id2874,Ogniwo zewnętrzne 10B-1_3
353,id2876,Ogniwo korpusowe 10B-1_5
354,id2878,Ogniwo zewnętrzne 10B-1_3
355,id2880,Ogniwo korpusowe 10B-1_5
356,id2882,Ogniwo zewnętrzne 10B-1_3
357,id2884,Ogniwo korpusowe 10B-1_5
358,id2886,Ogniwo zewnętrzne 10B-1_3
359,id2888,Ogniwo korpusowe 10B-1_5
360,id2890,Ogniwo zewnętrzne 10B-1_3
361,id2892,Ogniwo korpusowe 10B-1_5
362,id2894,Ogniwo zewnętrzne 10B-1_3
363,id2896,Ogniwo korpusowe 10B-1_5
364,id2898,Ogniwo zewnętrzne 10B-1_3
365,id2900,Ogniwo korpusowe 10B-1_5
366,id2902,Ogniwo zewnętrzne 10B-1_3
367,id2904,Ogniwo korpusowe 10B-1_5
368,id2906,Ogniwo zewnętrzne 10B-1_3
369,id2911,Ogniwo korpusowe 10B-1_5
370,id2913,Ogniwo zewnętrzne 10B-1_3
371,id2915,Ogniwo korpusowe 10B-1_5
372,id2917,Ogniwo zewnętrzne 10B-1_3
373,id2919,Ogniwo korpusowe 10B-1_5
374,id2921,Ogniwo zewnętrzne 10B-1_3
375,id2923,Ogniwo korpusowe 10B-1_5
376,id2925,Ogniwo zewnętrzne 10B-1_3
377,id2927,Ogniwo korpusowe 10B-1_5
378,id2929,Ogniwo zewnętrzne 10B-1_3
379,id2931,Ogniwo korpusowe 10B-1_5
380,id2933,Ogniwo zewnętrzne 10B-1_3
381,id2935,Ogniwo korpusowe 10B-1_5
382,id2937,Ogniwo zewnętrzne 10B-1_3
383,id2939,Ogniwo korpusowe 10B-1_5
384,id2941,Ogniwo zewnętrzne 10B-1_3
385,id2943,Ogniwo korpusowe 10B-1_5
386,id2945,Ogniwo zewnętrzne 10B-1_3
387,id2947,Ogniwo korpusowe 10B-1_5
388,id2949,Ogniwo zewnętrzne 10B-1_3
389,id2951,Ogniwo korpusowe 10B-1_5
390,id2953,Ogniwo zewnętrzne 10B-1_3
391,id2955,Ogniwo korpusowe 10B-1_5
392,id2957,Ogniwo zewnętrzne 10B-1_3
393,id2959,Ogniwo korpusowe 10B-1_5
394,id2961,Ogniwo zewnętrzne 10B-1_3
395,id2963,Ogniwo korpusowe 10B-1_5
396,id2965,Ogniwo zewnętrzne 10B-1_3
397,id2967,Ogniwo korpusowe 10B-1_5
398,id2969,Ogniwo zewnętrzne 10B-1_3
399,id2971,Ogniwo korpusowe 10B-1_5
400,id2973,Ogniwo zewnętrzne 10B-1_3
401,id2975,Ogniwo korpusowe 10B-1_5
402,id2977,Ogniwo zewnętrzne 10B-1_3
403,id2979,Ogniwo korpusowe 10B-1_5
404,id2981,Ogniwo zewnętrzne 10B-1_3
405,id2983,Ogniwo korpusowe 10B-1_5
406,id2985,Ogniwo zewnętrzne 10B-1_3
407,id2987,Ogniwo korpusowe 10B-1_5
408,id2989,Ogniwo zewnętrzne 10B-1_3
409,id2991,Ogniwo korpusowe 10B-1_5
410,id2993,Ogniwo zewnętrzne 10B-1_3
411,id2995,Ogniwo korpusowe 10B-1_5
412,id2997,Ogniwo zewnętrzne 10B-1_3
413,id2999,Ogniwo korpusowe 10B-1_5
414,id3001,Ogniwo zewnętrzne 10B-1_3
415,id3003,Ogniwo korpusowe 10B-1_5
416,id3005,Ogniwo zewnętrzne 10B-1_3
417,id3007,Ogniwo korpusowe 10B-1_5
418,id3009,Ogniwo zewnętrzne 10B-1_3
419,id3011,Ogniwo korpusowe 10B-1_5
420,id3013,Ogniwo zewnętrzne 10B-1_3
421,id3018,Ogniwo korpusowe 10B-1_5
422,id3020,Ogniwo zewnętrzne 10B-1_3
423,id3022,Ogniwo korpusowe 10B-1_5
424,id3024,Ogniwo zewnętrzne 10B-1_3
425,id3026,Ogniwo korpusowe 10B-1_5
426,id3028,Ogniwo zewnętrzne 10B-1_3
427,id3030,Ogniwo korpusowe 10B-1_5
428,id3032,Ogniwo zewnętrzne 10B-1_3
429,id3034,Ogniwo korpusowe 10B-1_5
430,id3036,Ogniwo zewnętrzne 10B-1_3
431,id3038,Ogniwo korpusowe 10B-1_5
432,id3040,Ogniwo zewnętrzne 10B-1_3
433,id3042,Ogniwo korpusowe 10B-1_5
434,id3044,Ogniwo zewnętrzne 10B-1_3
435,id3046,Ogniwo korpusowe 10B-1_5
436,id3048,Ogniwo zewnętrzne 10B-1_3
437,id3050,Ogniwo korpusowe 10B-1_5
438,id3052,Ogniwo zewnętrzne 10B-1_3
439,id3054,Ogniwo korpusowe 10B-1_5
440,id3056,Ogniwo zewnętrzne 10B-1_3
441,id3058,Ogniwo korpusowe 10B-1_5
442,id3060,Ogniwo zewnętrzne 10B-1_3
443,id3062,Ogniwo korpusowe 10B-1_5
444,id3064,Ogniwo zewnętrzne 10B-1_3
445,id3066,Ogniwo korpusowe 10B-1_5
446,id3068,Ogniwo zewnętrzne 10B-1_3
447,id3070,Ogniwo korpusowe 10B-1_5
448,id3072,Ogniwo zewnętrzne 10B-1_3
449,id3074,Ogniwo korpusowe 10B-1_5
450,id3076,Ogniwo zewnętrzne 10B-1_3
451,id3078,Ogniwo korpusowe 10B-1_5
452,id3080,Ogniwo zewnętrzne 10B-1_3
453,id3082,Ogniwo korpusowe 10B-1_5
454,id3084,Ogniwo zewnętrzne 10B-1_3
455,id3086,Ogniwo korpusowe 10B-1_5
456,id3088,Ogniwo zewnętrzne 10B-1_3
457,id3090,Ogniwo korpusowe 10B-1_5
458,id3092,Ogniwo zewnętrzne 10B-1_3
459,id3094,Ogniwo korpusowe 10B-1_5
460,id3096,Ogniwo zewnętrzne 10B-1_3
461,id3098,Ogniwo korpusowe 10B-1_5
462,id3100,Ogniwo zewnętrzne 10B-1_3
463,id3102,Ogniwo korpusowe 10B-1_5
464,id3104,Ogniwo zewnętrzne 10B-1_3
465,id3106,Ogniwo korpusowe 10B-1_5
466,id3108,Ogniwo zewnętrzne 10B-1_3
467,id3110,Ogniwo korpusowe 10B-1_5
468,id3112,Ogniwo zewnętrzne 10B-1_3
469,id3114,Ogniwo korpusowe 10B-1_5
470,id3116,Ogniwo zewnętrzne 10B-1_3
471,id3118,Ogniwo korpusowe 10B-1_5
472,id3120,Ogniwo zewnętrzne 10B-1_3
473,id3125,Ogniwo korpusowe 10B-1_5
474,id3127,Ogniwo zewnętrzne 10B-1_3
475,id3129,Ogniwo korpusowe 10B-1_5
476,id3131,Ogniwo zewnętrzne 10B-1_3
477,id3133,Ogniwo korpusowe 10B-1_5
478,id3135,Ogniwo zewnętrzne 10B-1_3
479,id3137,Ogniwo korpusowe 10B-1_5
480,id3139,Ogniwo zewnętrzne 10B-1_3
481,id3141,Ogniwo korpusowe 10B-1_5
482,id3143,Ogniwo zewnętrzne 10B-1_3
483,id3145,Ogniwo korpusowe 10B-1_5
484,id3147,Ogniwo zewnętrzne 10B-1_3
485,id3149,Ogniwo korpusowe 10B-1_5
486,id3151,Ogniwo zewnętrzne 10B-1_3
487,id3153,Ogniwo korpusowe 10B-1_5
488,id3155,Ogniwo zewnętrzne 10B-1_3
489,id3157,Ogniwo korpusowe 10B-1_5
490,id3159,Ogniwo zewnętrzne 10B-1_3
491,id3161,Ogniwo korpusowe 10B-1_5
492,id3163,Ogniwo zewnętrzne 10B-1_3
493,id3165,Ogniwo korpusowe 10B-1_5
494,id3167,Ogniwo zewnętrzne 10B-1_3
495,id3169,Ogniwo korpusowe 10B-1_5
496,id3171,Ogniwo zewnętrzne 10B-1_3
497,id3173,Ogniwo korpusowe 10B-1_5
498,id3175,Ogniwo zewnętrzne 10B-1_3
499,id3177,Ogniwo korpusowe 10B-1_5
500,id3179,Ogniwo zewnętrzne 10B-1_3
501,id3181,Ogniwo korpusowe 10B-1_5
502,id3183,Ogniwo zewnętrzne 10B-1_3
503,id3185,Ogniwo korpusowe 10B-1_5
504,id3187,Ogniwo zewnętrzne 10B-1_3
505,id3189,Ogniwo korpusowe 10B-1_5
506,id3191,Ogniwo zewnętrzne 10B-1_3
507,id3193,Ogniwo korpusowe 10B-1_5
508,id3195,Ogniwo zewnętrzne 10B-1_3
509,id3197,Ogniwo korpusowe 10B-1_5
510,id3199,Ogniwo zewnętrzne 10B-1_3
511,id3201,Ogniwo korpusowe 10B-1_5
512,id3203,Ogniwo zewnętrzne 10B-1_3
513,id3205,Ogniwo korpusowe 10B-1_5
514,id3207,Ogniwo zewnętrzne 10B-1_3
515,id3209,Ogniwo korpusowe 10B-1_5
516,id3211,Ogniwo zewnętrzne 10B-1_3
517,id3213,Ogniwo korpusowe 10B-1_5
518,id3215,Ogniwo zewnętrzne 10B-1_3
519,id3217,Ogniwo korpusowe 10B-1_5
520,id3219,Ogniwo zewnętrzne 10B-1_3
521,id3221,Ogniwo korpusowe 10B-1_5
522,id3223,Ogniwo zewnętrzne 10B-1_3
523,id3225,Ogniwo korpusowe 10B-1_5
524,id3227,Ogniwo zewnętrzne 10B-1_3
525,id3232,Ogniwo korpusowe 10B-1_5
526,id3234,Ogniwo zewnętrzne 10B-1_3
527,id3236,Ogniwo korpusowe 10B-1_5
528,id3238,Ogniwo zewnętrzne 10B-1_3
529,id3240,Ogniwo korpusowe 10B-1_5
530,id3242,Ogniwo zewnętrzne 10B-1_3
531,id3244,Ogniwo korpusowe 10B-1_5
532,id3246,Ogniwo zewnętrzne 10B-1_3
533,id3248,Ogniwo korpusowe 10B-1_5
534,id3250,Ogniwo zewnętrzne 10B-1_3
535,id3252,Ogniwo korpusowe 10B-1_5
536,id3254,Ogniwo zewnętrzne 10B-1_3
537,id3256,Ogniwo korpusowe 10B-1_5
