,name,id,ref,ref_name,ref_type,asm
10,032P_01.01.00.011_Blacha_nogi.psm:1,id402,id374,x,x,x
11,032P_01.01.00.010_Zebro_UPN100.psm:2,id438,id406,x,x,x
12,032P_01.01.00.011_Blacha_nogi.psm:2,id442,id374,x,x,x
13,032P_01.01.00.010_Zebro_UPN100.psm:1,id446,id406,x,x,x
14,034P_01.00.00.003_Ceownik_UPN100_465.par:2,id473,id450,x,x,x
15,034P_01.00.00.003_Ceownik_UPN100_465.par:3,id477,id450,x,x,x
16,032P_01.01.00.011_Blacha_nogi.psm:3,id481,id374,x,x,x
17,032P_01.01.00.011_Blacha_nogi.psm:4,id485,id374,x,x,x
18,032P_01.01.00.011_Blacha_nogi.psm:5,id489,id374,x,x,x
19,032P_01.01.00.011_Blacha_nogi.psm:6,id493,id374,x,x,x
20,032P_01.01.00.010_Zebro_UPN100.psm:3,id497,id406,x,x,x
21,034P_01.00.00.003_Ceownik_UPN100_465.par:1,id501,id450,x,x,x
22,032P_01.01.00.010_Zebro_UPN100.psm:4,id505,id406,x,x,x
23,034P_02.00.00.000_Rama_B.asm:1,id512,id509,034P_02.00.00.000_Rama_B,assembly,id701 id705 id709 id849 id853 id857 id861 id865 id869 id873 id877 id881 id925 id928 id932 id935 id939 id943 id947 id951 id1016 id1019 id1022 id1025 id1070
24,034P_02.00.00.001_Ceownik_UPN100_3128.par:2,id701,id515,x,x,x
25,032P_01.01.00.010_Zebro_UPN100.psm:4,id705,id406,x,x,x
26,034P_01.00.00.002_Ceownik_UPN100_100.par:1,id709,id153,x,x,x
27,034P_02.00.00.002_Ceownik_UPN100_3128.par:1,id849,id713,x,x,x
28,034P_01.00.00.002_Ceownik_UPN100_100.par:2,id853,id153,x,x,x
29,034P_01.00.00.002_Ceownik_UPN100_100.par:3,id857,id153,x,x,x
30,034P_01.00.00.002_Ceownik_UPN100_100.par:4,id861,id153,x,x,x
31,034P_01.00.00.002_Ceownik_UPN100_100.par:5,id865,id153,x,x,x
32,034P_01.00.00.002_Ceownik_UPN100_100.par:6,id869,id153,x,x,x
33,032P_01.01.00.011_Blacha_nogi.psm:1,id873,id374,x,x,x
34,032P_01.01.00.011_Blacha_nogi.psm:2,id877,id374,x,x,x
35,032P_01.01.00.010_Zebro_UPN100.psm:3,id881,id406,x,x,x
36,"034P_02.00.00.007_Walek_18x83,4_M8.par:1",id925,id885,x,x,x
37,032P_01.01.00.010_Zebro_UPN100.psm:1,id928,id406,x,x,x
38,"034P_02.00.00.007_Walek_18x83,4_M8.par:2",id932,id885,x,x,x
39,032P_01.01.00.010_Zebro_UPN100.psm:2,id935,id406,x,x,x
40,032P_01.01.00.011_Blacha_nogi.psm:3,id939,id374,x,x,x
41,032P_01.01.00.011_Blacha_nogi.psm:4,id943,id374,x,x,x
42,032P_01.01.00.011_Blacha_nogi.psm:5,id947,id374,x,x,x
43,032P_01.01.00.011_Blacha_nogi.psm:6,id951,id374,x,x,x
44,034P_02.00.00.005_Blacha.psm:1,id1016,id955,x,x,x
