,is_asm,mach_name,asm_name,par_name,par_per_asm
120,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,DIN_127_M10_Zn_HV200,1
121,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,DIN_127_M10_Zn_HV200,1
122,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,DIN_933_M10x30_Zn_KL8.8,1
123,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,DIN_933_M10x30_Zn_KL8.8,1
124,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,DIN_125_M10_Zn_HV200,1
125,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,DIN_125_M10_Zn_HV200,1
126,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,DIN_127_M10_Zn_HV200,1
127,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,DIN_127_M10_Zn_HV200,1
128,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,DIN_933_M10x30_Zn_KL8.8,1
129,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,DIN_933_M10x30_Zn_KL8.8,1
130,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,DIN_125_M10_Zn_HV200,1
131,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,DIN_125_M10_Zn_HV200,1
132,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,DIN_127_M10_Zn_HV200,1
133,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,DIN_127_M10_Zn_HV200,1
134,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,DIN_933_M10x30_Zn_KL8.8,1
135,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,DIN_933_M10x30_Zn_KL8.8,1
136,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,DIN_125_M10_Zn_HV200,1
137,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,DIN_125_M10_Zn_HV200,1
138,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,DIN_127_M10_Zn_HV200,1
139,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,DIN_127_M10_Zn_HV200,1
140,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,DIN_933_M10x30_Zn_KL8.8,1
141,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,DIN_933_M10x30_Zn_KL8.8,1
142,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,DIN_125_M10_Zn_HV200,1
143,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,DIN_125_M10_Zn_HV200,1
144,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,DIN_127_M10_Zn_HV200,1
145,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,DIN_127_M10_Zn_HV200,1
146,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,DIN_933_M10x30_Zn_KL8.8,1
147,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,DIN_933_M10x30_Zn_KL8.8,1
148,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,DIN_125_M10_Zn_HV200,1
