,mach_id,asm_id,asm_name,par_id,ile,id,name
111,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26550,,id26550,DIN_912_M6x12_Zn_KL8.8
112,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26553,,id26553,DIN_127_M6_Zn_HV200
113,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26556,,id26556,DIN_127_M6_Zn_HV200
114,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26559,,id26559,DIN_125_M6_Zn_HV200
115,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26562,,id26562,DIN_125_M6_Zn_HV200
116,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26565,,id26565,DIN_912_M6x12_Zn_KL8.8
117,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26568,,id26568,DIN_127_M6_Zn_HV200
118,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26571,,id26571,DIN_912_M6x12_Zn_KL8.8
119,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26574,,id26574,DIN_912_M6x12_Zn_KL8.8
120,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26577,,id26577,DIN_912_M6x12_Zn_KL8.8
121,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26580,,id26580,DIN_912_M6x12_Zn_KL8.8
122,032P,id13,032P_01.00.00.000_Modul_rolkowy,id1198,,id1198,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ
123,032P,id13,032P_01.00.00.000_Modul_rolkowy,id1201,,id1201,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ
124,032P,id13,032P_01.00.00.000_Modul_rolkowy,id1204,,id1204,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ
125,032P,id13,032P_01.00.00.000_Modul_rolkowy,id1207,,id1207,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ
126,032P,id13,032P_01.00.00.000_Modul_rolkowy,id1210,,id1210,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ
127,032P,id13,032P_01.00.00.000_Modul_rolkowy,id1213,,id1213,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ
128,032P,id13,032P_01.00.00.000_Modul_rolkowy,id1216,,id1216,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ
129,032P,id13,032P_01.00.00.000_Modul_rolkowy,id1219,,id1219,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ
130,032P,id13,032P_01.00.00.000_Modul_rolkowy,id1222,,id1222,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ
131,032P,id13,032P_01.00.00.000_Modul_rolkowy,id1844,,id1844,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ
132,032P,id13,032P_01.00.00.000_Modul_rolkowy,id1847,,id1847,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ
133,032P,id13,032P_01.00.00.000_Modul_rolkowy,id1850,,id1850,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ
134,032P,id13,032P_01.00.00.000_Modul_rolkowy,id1853,,id1853,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ
135,032P,id13,032P_01.00.00.000_Modul_rolkowy,id1856,,id1856,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ
136,032P,id13,032P_01.00.00.000_Modul_rolkowy,id1859,,id1859,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ
137,032P,id13,032P_01.00.00.000_Modul_rolkowy,id1862,,id1862,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ
138,032P,id13,032P_01.00.00.000_Modul_rolkowy,id1865,,id1865,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ
139,032P,id13,032P_01.00.00.000_Modul_rolkowy,id1868,,id1868,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ
140,032P,id13,032P_01.00.00.000_Modul_rolkowy,id1871,,id1871,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ
141,032P,id13,032P_01.00.00.000_Modul_rolkowy,id2269,,id2269,DIN_127_M8_Zn_HV200
142,032P,id13,032P_01.00.00.000_Modul_rolkowy,id2312,,id2312,DIN_934_M12_Zn_KL8
143,032P,id13,032P_01.00.00.000_Modul_rolkowy,id2344,,id2344,DIN_125_M12_Zn_HV200
144,032P,id13,032P_01.00.00.000_Modul_rolkowy,id2376,,id2376,DIN_9021_M8_Zn_HV200
145,032P,id13,032P_01.00.00.000_Modul_rolkowy,id2379,,id2379,DIN_934_M12_Zn_KL8
146,032P,id13,032P_01.00.00.000_Modul_rolkowy,id2794,,id2794,DIN_933_M12x40_Zn_KL8.8
147,032P,id13,032P_01.00.00.000_Modul_rolkowy,id2797,,id2797,DIN_933_M12x40_Zn_KL8.8
148,032P,id13,032P_01.00.00.000_Modul_rolkowy,id2800,,id2800,DIN_934_M12_Zn_KL8
149,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3721,,id3721,DIN_125_M8_Zn_HV200
150,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3724,,id3724,DIN_125_M8_Zn_HV200
151,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3727,,id3727,DIN_125_M8_Zn_HV200
152,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3730,,id3730,DIN_125_M12_Zn_HV200
